time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll
0.367735,0.0009,0.0005,0.002,0,0.0001,0.0004,7.2102,3.416,-77.2382,163.4313,0.2756,0.5113
0.369139,0.0006,-0.0011,-0.0015,0,0.0001,0.0004,7.2102,3.416,-77.2382,163.4313,0.2756,0.5113
0.370362,0.0006,-0.0011,-0.0015,0,0.0001,0.0004,7.2102,3.416,-77.2382,163.4313,0.2756,0.5113
0.372709,0.0006,-0.0011,-0.0015,0,0.0001,0.0004,6.8564,3.3428,-77.0064,163.4313,0.2756,0.5113
0.374123,0.0006,-0.0011,-0.0015,0,0.0001,0.0004,6.8564,3.3428,-77.0064,163.4337,0.2777,0.5122
0.441538,0.0006,-0.0011,-0.0015,0,0.0001,0.0004,6.7954,3.294,-76.9454,163.4337,0.2777,0.5122
0.447864,0.0006,-0.0011,-0.0015,0,0.0001,-0.0004,6.7954,3.294,-76.9454,163.4337,0.2777,0.5122
0.449587,0.0006,-0.0011,-0.0015,0,0.0001,-0.0004,6.7954,3.294,-76.9454,163.4337,0.2777,0.5122
0.451013,0.0038,-0.0021,-0.0025,0,0.0001,-0.0004,6.7954,3.294,-76.9454,163.4337,0.2777,0.5122
0.452422,0.0038,-0.0021,-0.0025,0,0.0001,-0.0004,6.7954,3.294,-76.9454,163.4503,0.2808,0.5173
0.507229,0.0038,-0.0021,-0.0025,0,0.0001,-0.0004,6.71,3.3306,-76.9088,163.4503,0.2808,0.5173
0.528104,0.0038,-0.0021,-0.0025,0,0.0001,-0.0004,6.71,3.3306,-76.9088,163.4503,0.2808,0.5173
0.529665,0.0038,-0.0021,-0.0025,0,-0.0001,-0.0003,6.71,3.3306,-76.9088,163.4503,0.2808,0.5173
0.53098,0.0018,-0.0008,0.0006,0,-0.0001,-0.0003,6.71,3.3306,-76.9088,163.4503,0.2808,0.5173
0.532037,0.0018,-0.0008,0.0006,0,-0.0001,-0.0003,6.71,3.3306,-76.9088,163.4568,0.2817,0.5197
0.568282,0.0018,-0.0008,0.0006,0,-0.0001,-0.0003,6.71,3.3306,-76.9088,163.4568,0.2817,0.5197
0.56971,-0.002,-0.0007,-0.0012,0,-0.0001,-0.0003,6.71,3.3306,-76.9088,163.4568,0.2817,0.5197
0.571088,-0.002,-0.0007,-0.0012,0,-0.0001,-0.0003,6.71,3.3306,-76.9088,163.4568,0.2817,0.5197
0.573786,-0.002,-0.0007,-0.0012,0,-0.0001,-0.0003,6.71,3.3306,-76.9088,163.4538,0.2824,0.5183
0.575385,-0.002,-0.0007,-0.0012,0,-0.0001,-0.0003,6.6368,3.3428,-76.8112,163.4538,0.2824,0.5183
0.640217,-0.002,-0.0007,-0.0012,0,-0.0001,-0.0003,6.6856,3.3672,-76.8356,163.4538,0.2824,0.5183
0.646967,-0.002,-0.0007,-0.0012,0,-0.0001,-0.0003,6.6856,3.3672,-76.8356,163.4538,0.2824,0.5183
0.648511,-0.002,-0.0007,-0.0012,0,-0.0004,0.0001,6.6856,3.3672,-76.8356,163.4538,0.2824,0.5183
0.649984,-0.0013,0.0015,-0.0001,0,-0.0004,0.0001,6.6856,3.3672,-76.8356,163.4538,0.2824,0.5183
0.706405,-0.0013,0.0015,-0.0001,0,-0.0004,0.0001,6.71,3.355,-76.8966,163.4538,0.2824,0.5183
0.726247,-0.0013,0.0015,-0.0001,0,0.0001,0.0005,6.71,3.355,-76.8966,163.4538,0.2824,0.5183
0.727223,-0.0013,0.0015,-0.0001,0,0.0001,0.0005,6.71,3.355,-76.8966,163.4538,0.2824,0.5183
0.727778,-0.0013,0.0015,-0.0001,0,0.0001,0.0005,6.71,3.355,-76.8966,163.4501,0.2812,0.519
0.728481,-0.0015,0.001,-0.0032,0,0.0001,0.0005,6.71,3.355,-76.8966,163.4501,0.2812,0.519
0.728989,-0.0015,0.001,-0.0032,0,0.0001,0.0005,6.71,3.355,-76.8966,163.4464,0.2806,0.5176
0.765746,-0.0015,0.001,-0.0032,0,0.0001,0.0005,6.71,3.355,-76.8966,163.4464,0.2806,0.5176
0.766335,-0.0015,0.001,-0.0032,0,0.0001,0.0005,6.71,3.355,-76.8966,163.4464,0.2806,0.5176
0.766824,0.0005,0.0009,0.0007,0,0.0001,0.0005,6.71,3.355,-76.8966,163.4464,0.2806,0.5176
0.772772,0.0005,0.0009,0.0007,0,0.0001,0.0005,6.6856,3.3062,-76.8966,163.4464,0.2806,0.5176
0.773367,0.0005,0.0009,0.0007,0,0.0001,0.0005,6.6856,3.3062,-76.8966,163.4461,0.28,0.5176
0.839985,0.0005,0.0009,0.0007,0,0.0001,0.0005,6.6124,3.2818,-76.8112,163.4461,0.28,0.5176
0.846432,0.0005,0.0009,0.0007,0,0.0001,0.0005,6.6124,3.2818,-76.8112,163.4461,0.28,0.5176
0.848113,0.0005,0.0009,0.0007,0,0.0001,-0.0004,6.6124,3.2818,-76.8112,163.4461,0.28,0.5176
0.849618,-0.0009,0.0001,-0.0029,0,0.0001,-0.0004,6.6124,3.2818,-76.8112,163.4461,0.28,0.5176
