time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
5.605328,-0.0524,0.0148,-0.0019,0.1317,-0.0133,0.0309,66.9780,14.2008,-50.1542,279.8264,-3.3749,5.5680,60.18460798,24.82717026,0.00000000,
5.606117,-0.0524,0.0148,-0.0019,0.1317,-0.0133,0.0309,66.9780,14.2008,-50.1542,279.8264,-3.3749,5.5680,60.18460798,24.82717026,0.00000000,
5.660750,-0.0524,0.0148,-0.0019,0.1317,-0.0133,0.0309,66.7706,14.7376,-50.5690,279.8264,-3.3749,5.5680,60.18460798,24.82717026,0.00000000,
5.662621,-0.0524,0.0148,-0.0019,0.0727,-0.1250,0.0213,66.7706,14.7376,-50.5690,279.8264,-3.3749,5.5680,60.18460798,24.82717026,0.00000000,
5.664376,0.0622,0.2949,-0.0793,0.0727,-0.1250,0.0213,66.7706,14.7376,-50.5690,279.8264,-3.3749,5.5680,60.18460798,24.82717026,0.00000000,
5.665484,0.0622,0.2949,-0.0793,0.0727,-0.1250,0.0213,66.7706,14.7376,-50.5690,279.9026,-3.6715,5.9296,60.18460798,24.82717026,0.00000000,
5.670909,0.0622,0.2949,-0.0793,0.0727,-0.1250,0.0213,66.7706,14.7376,-50.5690,279.9026,-3.6715,5.9296,60.18460798,24.82717026,0.00000000,
5.671843,0.0622,0.2949,-0.0793,0.0727,-0.1250,0.0213,66.7706,14.7376,-50.5690,279.9026,-3.6715,5.9296,60.18460798,24.82717026,0.00000000,
5.672564,0.0622,0.2949,-0.0793,0.0727,-0.1250,0.0213,66.7706,14.7376,-50.5690,279.9026,-3.6715,5.9296,60.18460798,24.82717026,0.00000000,
5.673304,0.0622,0.2949,-0.0793,0.0727,-0.1250,0.0213,66.7706,14.7376,-50.5690,279.9026,-3.6715,5.9296,60.18460798,24.82717026,0.00000000,
5.730880,0.0622,0.2949,-0.0793,0.0063,-0.0654,0.0076,66.7706,14.7376,-50.5690,279.9026,-3.6715,5.9296,60.18460798,24.82717026,0.00000000,
